D1,D2,D3,rX,rY,gX,gY
88,306,450,92.81666667,-13.51869159,37,83
104,294,451,108.1275,-10.98247664,39,61
125,266,448,136.02083330000002,-2.213785047,53,39
147,266,448,141.0075,4.776869158999999,69,27
171,233,448,174.8125,13.69275701,89,21
193,233,444,178.5125,27.216121500000003,115,17
218,211,442,201.8783333,41.28971963,141,17
242,189,441,225.00916669999998,55.21845794,161,17
262,170,441,244.7775,66.99415888,181,21
277,154,440,259.4208333,77.46845794,201,29
288,139,436,266.64666669999997,88.82242991,217,39
