D1,D2,D3,rX,rY,gX,gY
312,176,231,147.63416669999998,265.38200930000005,153,315
297,178,241,142.775,249.1962617,151,297
282,182,253,138.0775,232.125,149,281
265,187,264,131.9925,214.61799069999998,145,267
247,195,275,124.16,196.92523359999998,139,249
230,210,293,115.7975,175.50817759999998,134,233
212,210,293,109.1675,166.213785,129,221
196,217,299,101.7058333,154.4380841,121,207
184,223,303,95.5125,146.2978972,113,193
176,226,306,92.39,140.79906540000002,105,179
172,227,306,90.475,139.1728972,95,167
