D1,D2,D3,rX,rY,gX,gY
416,183,212,200.235,362.6682243,220,350
414,180,220,202.8366667,357.6869159,234,348
415,176,231,210.035,352.8598131,248,342
416,169,243,219.4925,347.1857477,264,332
420,157,257,234.6325,342.9147196,272,318
422,157,257,236.0358333,344.8820093,278,298
421,124,274,258.3108333,333.3516355,278,282
417,107,288,268.6191667,320.2441589,278,266
410,107,299,269.1758333,305.9380841,278,252
400,79,309,276.1725,289.3726636,278,244
389,68,325,280.0883333,267.3831776,276,232
381,57,325,284.9116667,260.1869159,274,212
372,47,332,277.165,246.8971963,272,198
365,37,338,277.6158333,236.1740654,270,182
357,34,345,277.1416667,223.8411215,266,162
346,39,360,278.9016667,202.453271,264,148
338,50,369,278.1775,188.396028,260,142
326,63,369,274.6916667,171.2336449,248,130
311,77,386,268.5558333,152.9310748,238,126
298,92,393,262.2775,137.3119159,230,124
