D1,D2,D3,rX,rY,gX,gY
412,129,292,258.445,312.69158880000003,214,340
413,129,279,252.94666669999998,322.3271028,208,322
407,146,269,236.48833330000002,322.9813084,208,302
399,146,249,222.48166669999998,327.5514019,210,286
388,146,249,215.2675,317.4380841,212,270
374,142,249,208.2975,304.9754673,216,250
363,134,254,207.3175,292.56658880000003,218,238
353,124,260,208.2208333,280.59929910000005,222,222
341,111,271,211.24,264.046729,226,206
337,89,285,222.8,251.78504669999998,232,194
334,89,299,227.9358333,239.88200930000002,234,180
